,proc,mult,ms
0,1,1,2237
1,1,1,2009
2,1,1,2041
3,1,1,1991
4,1,1,2031
5,1,1,1901
6,1,1,2472
7,1,1,2216
8,1,1,2313
9,1,1,2474
10,2,1,1831
11,2,1,2205
12,2,1,1868
13,2,1,1799
14,2,1,1782
15,2,1,1822
16,2,1,1767
17,2,1,1923
18,2,1,2001
19,2,1,1764
20,4,1,1753
21,4,1,1763
22,4,1,1700
23,4,1,1644
24,4,1,1757
25,4,1,1671
26,4,1,1636
27,4,1,1739
28,4,1,1788
29,4,1,1679
30,6,1,2096
31,6,1,2048
32,6,1,2013
33,6,1,2019
34,6,1,2022
35,6,1,2036
36,6,1,1968
37,6,1,1999
38,6,1,2022
39,6,1,1954
40,8,1,2518
41,8,1,2524
42,8,1,2533
43,8,1,2484
44,8,1,2405
45,8,1,2486
46,8,1,2453
47,8,1,2363
48,8,1,2374
49,8,1,2322
50,10,1,2519
51,10,1,2631
52,10,1,2687
53,10,1,2697
54,10,1,2646
55,10,1,2650
56,10,1,2597
57,10,1,2518
58,10,1,2604
59,10,1,2604
60,12,1,2873
61,12,1,2747
62,12,1,2890
63,12,1,2960
64,12,1,3069
65,12,1,2630
66,12,1,2567
67,12,1,2800
68,12,1,2879
69,12,1,3640
70,14,1,6515
71,14,1,3190
72,14,1,3318
73,14,1,4016
74,14,1,4267
75,14,1,4664
76,14,1,3567
77,14,1,3136
78,14,1,4807
79,14,1,4247
80,16,1,3521
81,16,1,4057
82,16,1,3713
83,16,1,4216
84,16,1,3568
85,16,1,3767
86,16,1,3873
87,16,1,3170
88,16,1,3218
89,16,1,3746
90,1,5,8637
91,1,5,8636
92,1,5,9651
93,1,5,9003
94,1,5,9232
95,1,5,8963
96,1,5,9171
97,1,5,8740
98,1,5,9424
99,1,5,9528
100,2,5,5387
101,2,5,5607
102,2,5,5615
103,2,5,5465
104,2,5,5351
105,2,5,5234
106,2,5,5439
107,2,5,5187
108,2,5,5342
109,2,5,5675
110,4,5,3635
111,4,5,3652
112,4,5,3610
113,4,5,3614
114,4,5,3789
115,4,5,3793
116,4,5,3916
117,4,5,3826
118,4,5,3568
119,4,5,3808
120,6,5,3759
121,6,5,3667
122,6,5,3527
123,6,5,3578
124,6,5,3511
125,6,5,3564
126,6,5,3772
127,6,5,3916
128,6,5,3673
129,6,5,3404
130,8,5,4431
131,8,5,4331
132,8,5,3942
133,8,5,4150
134,8,5,4217
135,8,5,4085
136,8,5,4116
137,8,5,4487
138,8,5,4200
139,8,5,4469
140,10,5,4964
141,10,5,4722
142,10,5,4906
143,10,5,4695
144,10,5,4545
145,10,5,5362
146,10,5,5494
147,10,5,4853
148,10,5,5492
149,10,5,5763
150,12,5,5408
151,12,5,4940
152,12,5,5067
153,12,5,5354
154,12,5,5410
155,12,5,6057
156,12,5,6235
157,12,5,6451
158,12,5,5492
159,12,5,5892
160,14,5,7627
161,14,5,7313
162,14,5,7234
163,14,5,6390
164,14,5,6550
165,14,5,7141
166,14,5,6804
167,14,5,6512
168,14,5,6608
169,14,5,7082
170,16,5,8367
171,16,5,8471
172,16,5,7432
173,16,5,7072
174,16,5,6507
175,16,5,6589
176,16,5,6485
177,16,5,6587
178,16,5,6463
179,16,5,6248
180,1,10,16657
181,1,10,16274
182,1,10,16134
183,1,10,17402
184,1,10,27773
185,1,10,20348
186,1,10,24183
187,1,10,21687
188,1,10,17891
189,1,10,17714
190,2,10,9551
191,2,10,10294
192,2,10,11333
193,2,10,10151
194,2,10,10527
195,2,10,10901
196,2,10,10351
197,2,10,10161
198,2,10,9609
199,2,10,9928
200,4,10,6916
201,4,10,6786
202,4,10,6483
203,4,10,6432
204,4,10,6813
205,4,10,6923
206,4,10,7447
207,4,10,7504
208,4,10,6961
209,4,10,6913
210,6,10,5808
211,6,10,6024
212,6,10,7217
213,6,10,6321
214,6,10,5824
215,6,10,7014
216,6,10,6912
217,6,10,6465
218,6,10,5914
219,6,10,5911
220,8,10,7113
221,8,10,7321
222,8,10,6647
223,8,10,6281
224,8,10,6900
225,8,10,6990
226,8,10,6412
227,8,10,6303
228,8,10,6571
229,8,10,5863
230,10,10,6517
231,10,10,7425
232,10,10,7582
233,10,10,7451
234,10,10,7406
235,10,10,6706
236,10,10,7535
237,10,10,7235
238,10,10,6762
239,10,10,7283
240,12,10,7592
241,12,10,7546
242,12,10,8713
243,12,10,7714
244,12,10,8141
245,12,10,7798
246,12,10,8460
247,12,10,7804
248,12,10,8495
249,12,10,7152
250,14,10,7886
251,14,10,8650
252,14,10,9443
253,14,10,10117
254,14,10,9592
255,14,10,8549
256,14,10,8050
257,14,10,9411
258,14,10,9642
259,14,10,10673
260,16,10,10848
261,16,10,9855
262,16,10,11260
263,16,10,11607
264,16,10,10949
265,16,10,10511
266,16,10,9332
267,16,10,8909
268,16,10,10052
269,16,10,9826
